Ref,Val,Package,PosX,PosY,Rot,Side
"R16","4.7k","R_0603_1608Metric",160.800000,-79.775000,180.000000,top
"R18","470R","R_0603_1608Metric",121.400000,-83.900000,180.000000,top
"R20","470R","R_0603_1608Metric",121.400000,-82.300000,180.000000,top
"R23","49.9R","R_0603_1608Metric",121.375000,-96.000000,0.000000,top
"R25","49.9R","R_0603_1608Metric",121.375000,-99.000000,0.000000,top
"R27","3.3R","R_0603_1608Metric",121.425000,-88.500000,180.000000,top
"R28","3.3R","R_0603_1608Metric",121.425000,-91.500000,180.000000,top
"R29","3.3R","R_0603_1608Metric",121.400000,-94.500000,180.000000,top
"R30","3.3R","R_0603_1608Metric",121.375000,-97.500000,180.000000,top
"R31","4.7k","R_0603_1608Metric",152.600000,-87.200000,0.000000,top
"R32","4.7k","R_0603_1608Metric",152.600000,-88.700000,0.000000,top
"R33","12.3k","R_0603_1608Metric",125.400000,-101.025000,-90.000000,top
"R34","1M","R_0603_1608Metric",128.700000,-96.600000,0.000000,top
"R35","49.9R","R_0603_1608Metric",121.400000,-87.000000,0.000000,top
"R36","49.9R","R_0603_1608Metric",121.425000,-90.000000,0.000000,top
"R38","4.7k","R_0603_1608Metric",151.825600,-95.350000,90.000000,top
"R39","4.7k","R_0603_1608Metric",153.375000,-95.350000,90.000000,top
"R40","4.7k","R_0603_1608Metric",154.924400,-95.350000,90.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",161.550000,-100.800000,-90.000000,top
"U1","ATmega2560-16A","TQFP-100_14x14mm_P0.5mm",181.730000,-98.445000,0.000000,top
"U2","CH340C","SOIC-16_3.9x9.9mm_P1.27mm",125.425000,-108.550000,90.000000,top
"U3","ISM330DHCX","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",155.675000,-87.650000,90.000000,top
"U5","AP63205WU","TSOT-23-6",150.862500,-107.400000,0.000000,top
"U6","AP63203WU","TSOT-23-6",134.787500,-107.100000,0.000000,top
"U7","SE050C2HQ1","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm",155.758000,-91.619500,-90.000000,top
"U8","AP22804AW5","SOT-23-5",114.612500,-105.350000,90.000000,top
"U9","MCP7940N-xST","MSOP-8_3x3mm_P0.65mm",155.625000,-82.175000,0.000000,top
"U10","TXS0108EPW","TSSOP-20_4.4x6.5mm_P0.65mm",134.337500,-81.975000,0.000000,top
"Y1","16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",179.317000,-109.748000,180.000000,top
"Y2","25Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",128.900000,-99.300000,0.000000,top
"Y3","32.768kHz","Crystal_SMD_EuroQuartz_EQ161-2Pin_3.2x1.5mm_HandSoldering",155.225000,-79.100000,180.000000,top
